"amplifier_expression","condition","bfp","ifp","ifp_lower","ifp_upper"
"Low","Amplifier only",196.4,6664.65,5584,7977.8
"Low","Amplifier only",501.5,7585.8,7142.85751143899,8166.21454298312
"Low","Amplifier only",1064,7439.8,7222.18891774782,7597.7
"Low","Amplifier only",2362.95,7853.35,7654.9,8075.33475695752
"Low","Amplifier only",6248,7637.65,7410.5,7902.3
"Low","Amplifier only",15224.05,7566.7,7311.56651329602,7771.25
"Low","Amplifier only",37142.35,7374.65,6983.32229436955,7652.17551515305
"Low","Amplifier only",89487.7,7816.7,7473.4,8139.6
"Low","Amplifier only",237751.5,8353.6,7628,8976.2
"Low","Amplifier only",557134.5,8571.4,7470.7,10544
"Low","Input + amplifier",177,8109.9,7155.7,9539.7
"Low","Input + amplifier",487.75,8792.95,8449.48637724074,9246.18486703976
"Low","Input + amplifier",1051.4,9349.7,9083.39399876198,9682.45427087255
"Low","Input + amplifier",2433.1,20059.7,18606.2,21102.9
"Low","Input + amplifier",6259.85,49080.75,45682.7757551005,51860.75
"Low","Input + amplifier",16252.1,71507.2,68872.1,74916
"Low","Input + amplifier",39584.45,88410,84896.7757748834,92515.1971094632
"Low","Input + amplifier",95090.7,119751,113636.025405071,126077.080618502
"Low","Input + amplifier",230926,155895,140853,164801
"Low","Input + amplifier",541667,174094,159914.863772407,197972
"Low","Input only",179.4,7915.85,6556.85,9983.41612370046
"Low","Input only",490.7,9231.9,8393.5,9860.1
"Low","Input only",1082.5,9909.4,9332.55,10447
"Low","Input only",2446.95,17132.75,15836.5498899178,18446.9542510896
"Low","Input only",6185.6,47637.35,42722.1545306029,51444.5
"Low","Input only",15660.9,68552.45,64408.0297352922,71630.25
"Low","Input only",38769.9,84767.7,80740.5,89123.4105627914
"Low","Input only",99327.75,117419,108764.779653608,124757
"Low","Input only",236666,154791,147722,178582
"Low","Input only",598763,154512,134932.394965574,175139
"Medium","Amplifier only",191.4,9112.8,6650.4,10023.2
"Medium","Amplifier only",508.45,9024.65,8227.88175633851,9553.6
"Medium","Amplifier only",1075.3,9111.9,8787.76732343764,9500.2
"Medium","Amplifier only",2446.5,11838,11329,12326.0974594929
"Medium","Amplifier only",6398.2,11405.7,11073.7050810142,11962.4
"Medium","Amplifier only",15862,10412.2,10029.1579913339,10662.3704341389
"Medium","Amplifier only",38120.1,9279.7,8961.4,9698.29745949292
"Medium","Amplifier only",91219.9,8660.8,8440.5,9078.45681137963
"Medium","Amplifier only",217456,9459,8829.6,10056.8856771814
"Medium","Amplifier only",563239.5,11430.75,10385.1222238532,13219.2
"Medium","Input + amplifier",200.15,8631.6,6600.6,11620.35
"Medium","Input + amplifier",491.1,9771.65,8747.88453679302,10718.05
"Medium","Input + amplifier",1055.95,10873.85,10597.4672133554,11381.6548410667
"Medium","Input + amplifier",2433.75,34840.95,31477.2408880607,38387.9
"Medium","Input + amplifier",6555,103729,98313.9,110432
"Medium","Input + amplifier",16471.05,154378.5,148651.5,160738
"Medium","Input + amplifier",41077.2,212854,207529.5,222321.197340795
"Medium","Input + amplifier",99903,280991.5,270539.227544815,290943.415683371
"Medium","Input + amplifier",234213.5,348818,336329.028905368,360716
"Medium","Input + amplifier",548432.5,340705,318283.5,365985
"Medium","Input only",192.5,9026.8,7440.4,10782.1
"Medium","Input only",492.7,8717.6,7970.69543844659,9408.4
"Medium","Input only",1086.3,9220.4,8959.6,9669.48983797168
"Medium","Input only",2469.4,20905.3,19718.9,22270.35
"Medium","Input only",6547.95,53783.05,51813.3177835496,55363.5074718731
"Medium","Input only",16474.65,76784,75153.4752949886,78859.421904774
"Medium","Input only",39722.2,98343.4,96372.8074211397,100440.987297465
"Medium","Input only",96648.1,129676,126454,134153.027606716
"Medium","Input only",229763.5,169524.5,163414.550810142,176973.755151531
"Medium","Input only",538073.5,187196,178029.886975833,199449.682436615
"High","Amplifier only",503.5,22526.6,19114.6229041296,26238
"High","Amplifier only",1076.6,23041.4,21832.7628521835,24773.8
"High","Amplifier only",2586.15,25921.45,24709.7,27674.721464445
"High","Amplifier only",6520.4,29888.9,28438.8,31234.7
"High","Amplifier only",16172.2,29856.7,28685.133026592,31028.0027606716
"High","Amplifier only",38398.1,27983.2,26624.8,29368.2147631476
"High","Amplifier only",94735.55,23723.65,21899.05,25083.4212442805
"High","Amplifier only",228229,32151.7,28807.55,35141.6886382345
"High","Amplifier only",551762,44225.55,38610.0707334351,54049.934787908
"High","Input + amplifier",495.6,32421,23423.7471292462,43079.75
"High","Input + amplifier",1065.9,36785.85,31462.7,41499.15
"High","Input + amplifier",2468.8,126667,111085.51069872,153556
"High","Input + amplifier",6635,326892,309283,356017
"High","Input + amplifier",16669.75,462789,452805,481997.074916561
"High","Input + amplifier",41872.5,564327,552470.50629543,580571
"High","Input + amplifier",103160,676306,663639.759950479,688722.315473416
"High","Input + amplifier",243427.5,734030.5,719127.211539812,745786.591119393
"High","Input + amplifier",545286,716850,701514,732861
"High","Input only",508.05,8808.85,8094.3,9465.7
"High","Input only",1118.4,10088.6,9579.7,10538.2741150343
"High","Input only",2469.9,18908.5,17469.5,20322
"High","Input only",6616.4,54740,52577.6021001781,56404.7
"High","Input only",17186.2,79194.05,77090.6537006784,81777.4780556601
"High","Input only",41530.4,106148,103878,108596.923784788
"High","Input only",101884,137142,134030,140291
"High","Input only",237933,178918,174040,183429
"High","Input only",552035,198910,191952,205654
