"wt_ifp","g12c_ifp","binder_type","label"
70539.5,324955,"synthetic","12VC1"
73037.95,307490,"synthetic",""
114135,276640.5,"natural",""
322749.5,333292,"natural",""
157516,322426,"natural",""
89752.75,107338.5,"de novo",""
191580.5,259395.5,"de novo",""
77884.8,85547.7,"de novo",""
375087.5,386323,"de novo",""
139434,231672,"de novo",""
63703.25,65092,"de novo",""
180705,171984,"de novo",""
59709.9,63998.2,"de novo",""
114972,107524.5,"de novo",""
98081.5,102922,"de novo",""
94564.8,112011,"de novo",""
208686.5,239401,"de novo",""
51548.8,57623.6,"de novo",""
88439.7,87967.95,"controls",""
148606.5,230106,"natural",""
129011,152510,"synthetic",""
261275.5,350851,"synthetic",""
385789,357325,"synthetic",""
119029.5,187580,"natural",""
53715.2,56442.3,"natural",""
323065.5,347486,"synthetic",""
32549.4,40893.6,"controls","Neg. Ctrl."
51051.3,47223.5,"natural",""
63753.75,112580.5,"natural",""
80193.5,128978,"natural",""
130176,250799.5,"natural",""
49313.2,55073.2,"natural",""
160057,278855,"natural","RAF1"
109775,255356,"natural",""
161720,305568.5,"natural",""
165881.5,307193.5,"natural",""
173242,330115,"natural",""
49592.4,66263.9,"natural",""
71898,124444.5,"natural",""
150304,189883.5,"natural",""
167994,173888,"natural",""
58696.2,84574.85,"natural",""
78819.2,84302.9,"natural",""
99805.8,137274,"natural",""
102562,227138,"natural",""
230828,332725,"natural",""
91263.35,94783.2,"natural",""
238456,323004.5,"natural",""
132311,240043,"natural",""
58624.6,144795,"natural",""
42889.9,65821.1,"natural",""
117910,170396,"natural",""
