"ras_status","cell_line","bfp","ifp","ifp_lower","ifp_upper"
"Mutant RAS","MIA PaCa-2",1674.96277977749,6760.4,4058.9,14210.7
"Mutant RAS","MIA PaCa-2",14390.0801048618,19828.9,18472.4,23980.8
"Mutant RAS","MIA PaCa-2",146552.241875271,102392,95844,108906
"Mutant RAS","MIA PaCa-2",3501.11130388422,6038.6,5563.9,6835.97503525819
"Mutant RAS","MIA PaCa-2",32635.1545122926,39544.9,34500.9,47599.9
"Mutant RAS","MIA PaCa-2",310717.902507338,149613.5,140491.5,160240
"Mutant RAS","MIA PaCa-2",6381.13998565323,8066.4,7412.1,8768.5
"Mutant RAS","MIA PaCa-2",68614.0305411849,67267.65,62472.75,74743.15
"Mutant RAS","MIA PaCa-2",616980.365529317,216672,197004,239653
"Mutant RAS","NCI-H358",1626.01647547554,19598.1,9511.2,30192.1
"Mutant RAS","NCI-H358",14323.2041592758,57545.65,45801.85,75364.7466570078
"Mutant RAS","NCI-H358",150299.917230929,213446,199032,231060
"Mutant RAS","NCI-H358",3352.29490067189,15949.2,12454.8932163844,18987.8
"Mutant RAS","NCI-H358",32810.0875593448,139878.5,122103.297439076,158470.222745866
"Mutant RAS","NCI-H358",315822.813624061,244677,229490,265104
"Mutant RAS","NCI-H358",6944.34985704871,21860.05,19107.7,24007.55
"Mutant RAS","NCI-H358",71329.9068198882,157729.5,147748.138824896,174891.385281523
"Mutant RAS","NCI-H358",597598.123810825,274718,253100.063401002,306570
"Mutant RAS","NCI-H441",14617.4438130714,15525.8,7971.85,37515.95
"Mutant RAS","NCI-H441",154355.001501932,112234,60660.5,167460.5
"Mutant RAS","NCI-H441",3835.22476072521,6103.1,2508.6,8108.4
"Mutant RAS","NCI-H441",306700.96946765,153636,41467.2,249188
"Mutant RAS","NCI-H441",6709.95674897469,5907.1,4115.8,10623.8
"Mutant RAS","NCI-H441",69834.8103784898,108495,16902.8,207539
"Mutant RAS","NCI-H441",553589.304918194,271693,82018.8,370293
"WT RAS","HEK293 Rasless",208007.997110408,22102.8,20109.80451082,23899.3013605529
"WT RAS","HEK293 Rasless",33168.7018939814,9468.9,8605.80970191639,10388.3
"WT RAS","HEK293 Rasless",2049.97996388698,4123.15,3716.6,4695.05
"WT RAS","HEK293 Rasless",4342.87669453094,6400.3,6039.13845763589,6965.1521904774
"WT RAS","HEK293 Rasless",86990.0261942275,12301.5,11469.7,13032.2021904774
"WT RAS","HEK293 Rasless",11979.2286133946,9571.8,8555.2,10568.6
"WT RAS","PLC/PRF/5",197006.908671837,7094.5,5549.9,18459.9
"WT RAS","PLC/PRF/5",5363.87650134221,4488.3,2640.9,6764.7
"WT RAS","PLC/PRF/5",96433.0220284773,7905.3,4793.85,30780.4
"WT RAS","PLC/PRF/5",9777.4448395317,7853.3,5726.9,10893
"WT RAS","SNU-423",213370.652004991,10363.2,9071.5,11113.2
"WT RAS","SNU-423",32469.6168632019,7131.8,6142.8,7667.8
"WT RAS","SNU-423",89932.8921871696,7339.2,6670.4,8502
"WT RAS","SNU-423",12184.4819550249,6811.3,5755.35,7415.4
"WT RAS","SNU-449",214945.205408688,5415.2,5006.3,6158.3
"WT RAS","SNU-449",34221.28504772,3366.3,2487.5,3640
"WT RAS","SNU-449",2185.21167091347,2927.5,1092.6,5704.7
"WT RAS","SNU-449",4553.17725205058,3344.1,2953.4,4018
"WT RAS","SNU-449",87631.9580073536,4290.45,3674.33249596375,5501.6
"WT RAS","SNU-449",11721.9161524042,4077.15,3419.4,4885.1
"WT RAS","SNU-475",213359.447534137,16768.7,15221.9,17718.4
"WT RAS","SNU-475",33113.6344158613,9900,8773,10798.9
"WT RAS","SNU-475",5404.19693001816,7491.55,4724.4,11630.7
"WT RAS","SNU-475",85166.430392243,12475.4,11517,13553.6
"WT RAS","SNU-475",12856.4729386726,9631.4,7541.3,10906.5
