"binder","ras","ruby","ifp","ifp_lower","ifp_upper"
"dead 12VC1","KRAS G12C",1000.5,15020.2,13094.4,18543.7
"dead 12VC1","KRAS G12C",1995.58870645846,16860.1,15733.254028373,18333.4
"dead 12VC1","KRAS G12C",3980.38409329788,18287.4,16537.235166336,20389.3521311286
"dead 12VC1","KRAS G12C",7939.23992399013,18609.6,17162.1,20278.6
"dead 12VC1","KRAS G12C",15835.5397602986,21307.5,18667.8150426609,23876.6
"dead 12VC1","KRAS G12C",31585.4315905306,19961.6,18118.4,23818.8
"dead 12VC1","KRAS G12C",63000.0305554013,21140.5,17284.1,23383.0784959891
"dead 12VC1","KRAS G12C",125659.319822985,19952.4,15979,25904.8
"dead 12VC1","KRAS G12D",1000.5,15214.85,13575.6730142119,17149.7
"dead 12VC1","KRAS G12D",1995.58870645846,18798,16596.5,20450.7
"dead 12VC1","KRAS G12D",3980.38409329788,16283.9,14855.499559671,17449.2
"dead 12VC1","KRAS G12D",7939.23992399013,19925.8,18409.1,22522.8
"dead 12VC1","KRAS G12D",15835.5397602986,21023.25,18559.15,23718.5204341389
"dead 12VC1","KRAS G12D",31585.4315905306,22639.8,20445.5,25095.9
"dead 12VC1","KRAS G12D",63000.0305554013,18038.7,15029.4577711694,21574.6
"dead 12VC1","KRAS G12D",125659.319822985,20764.7,17000.0728904099,58066.5
"dead 12VC1","KRAS G12D",250639,18473,8283.5,57203.3
"dead 12VC1","KRAS WT",1000.5,17850.3,15395.9,19497
"dead 12VC1","KRAS WT",1995.58870645846,17678.2,16018.3850166879,19067.65
"dead 12VC1","KRAS WT",3980.38409329788,16623.5,15551.4,18162.85
"dead 12VC1","KRAS WT",7939.23992399013,19530.75,17533.4683735267,21154.0060519714
"dead 12VC1","KRAS WT",15835.5397602986,19995.7,17499.8,22341.4
"dead 12VC1","KRAS WT",31585.4315905306,17943.35,15509.9762152124,19864.0226048333
"dead 12VC1","KRAS WT",63000.0305554013,23590.9,17580.55,27616.15
"dead 12VC1","KRAS WT",125659.319822985,21683.5,15287.2,27350.2
"dead 12VC1","KRAS WT",250639,24803.95,12130,42803.1
"12VC1","KRAS G12C",1000.5,30803.5,25413.3,36250.2
"12VC1","KRAS G12C",1995.58870645846,32892.8,30251.421024116,36564.2
"12VC1","KRAS G12C",3980.38409329788,40652.8,36167.9,46180.5812789958
"12VC1","KRAS G12C",7939.23992399013,47637.8,43299.6,57121.4
"12VC1","KRAS G12C",15835.5397602986,64616.1,56547.3,77729.45
"12VC1","KRAS G12C",31585.4315905306,91050.9,79623.1,104033
"12VC1","KRAS G12C",63000.0305554013,154246,136117,184422.5
"12VC1","KRAS G12C",125659.319822985,213879.5,171731,261389.5
"12VC1","KRAS G12C",250639,248577,188406.5,313133
"12VC1","KRAS G12D",1000.5,26066.2,22075.6,30388.6
"12VC1","KRAS G12D",1995.58870645846,27885.85,25493.65,31823.7
