"effector","cell_line","sensor_concentration","effector_concentration","viability"
"Apoptosis","KRAS WT
(HEK293FT)",0,0,100
"Apoptosis","KRAS WT
(HEK293FT)",0,80,96
"Apoptosis","KRAS WT
(HEK293FT)",0,120,103
"Apoptosis","KRAS WT
(HEK293FT)",0,160,100
"Pyroptosis","KRAS WT
(HEK293FT)",0,0,100
"Pyroptosis","KRAS WT
(HEK293FT)",0,80,101
"Pyroptosis","KRAS WT
(HEK293FT)",0,120,101
"Pyroptosis","KRAS WT
(HEK293FT)",0,160,101
"Apoptosis","KRAS WT
(HEK293FT)",40,0,101
"Apoptosis","KRAS WT
(HEK293FT)",40,80,101
"Apoptosis","KRAS WT
(HEK293FT)",40,120,103
"Apoptosis","KRAS WT
(HEK293FT)",40,160,100
"Pyroptosis","KRAS WT
(HEK293FT)",40,0,98
"Pyroptosis","KRAS WT
(HEK293FT)",40,80,101
"Pyroptosis","KRAS WT
(HEK293FT)",40,120,99
"Pyroptosis","KRAS WT
(HEK293FT)",40,160,104
"Apoptosis","KRAS WT
(HEK293FT)",80,0,101
"Apoptosis","KRAS WT
(HEK293FT)",80,80,99
"Apoptosis","KRAS WT
(HEK293FT)",80,120,102
"Apoptosis","KRAS WT
(HEK293FT)",80,160,99
"Pyroptosis","KRAS WT
(HEK293FT)",80,0,99
"Pyroptosis","KRAS WT
(HEK293FT)",80,80,101
"Pyroptosis","KRAS WT
(HEK293FT)",80,120,99
"Pyroptosis","KRAS WT
(HEK293FT)",80,160,103
"Apoptosis","KRAS WT
(HEK293FT)",120,0,99
"Apoptosis","KRAS WT
(HEK293FT)",120,80,98
"Apoptosis","KRAS WT
(HEK293FT)",120,120,102
"Apoptosis","KRAS WT
(HEK293FT)",120,160,102
"Pyroptosis","KRAS WT
(HEK293FT)",120,0,100
"Pyroptosis","KRAS WT
(HEK293FT)",120,80,103
"Pyroptosis","KRAS WT
(HEK293FT)",120,120,99
"Pyroptosis","KRAS WT
(HEK293FT)",120,160,104
"Apoptosis","KRAS WT
(HEK293FT)",160,0,97
"Apoptosis","KRAS WT
(HEK293FT)",160,80,98
"Apoptosis","KRAS WT
(HEK293FT)",160,120,106
"Apoptosis","KRAS WT
(HEK293FT)",160,160,105
"Pyroptosis","KRAS WT
(HEK293FT)",160,0,102
"Pyroptosis","KRAS WT
(HEK293FT)",160,80,103
"Pyroptosis","KRAS WT
(HEK293FT)",160,120,98
"Pyroptosis","KRAS WT
(HEK293FT)",160,160,105
"Apoptosis","KRAS WT
(HEK293FT)",200,0,97
"Apoptosis","KRAS WT
(HEK293FT)",200,80,99
"Apoptosis","KRAS WT
(HEK293FT)",200,120,106
"Apoptosis","KRAS WT
(HEK293FT)",200,160,105
"Pyroptosis","KRAS WT
(HEK293FT)",200,0,100
"Pyroptosis","KRAS WT
(HEK293FT)",200,80,100
"Pyroptosis","KRAS WT
(HEK293FT)",200,120,108
"Pyroptosis","KRAS WT
(HEK293FT)",200,160,113
"Apoptosis","KRAS G12C
(MIA PaCa-2)",0,0,100
"Apoptosis","KRAS G12C
(MIA PaCa-2)",0,80,93
"Apoptosis","KRAS G12C
(MIA PaCa-2)",0,120,95
"Apoptosis","KRAS G12C
(MIA PaCa-2)",0,160,103
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",0,0,100
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",0,80,107
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",0,120,104
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",0,160,97
"Apoptosis","KRAS G12C
(MIA PaCa-2)",40,0,100
"Apoptosis","KRAS G12C
(MIA PaCa-2)",40,80,53
"Apoptosis","KRAS G12C
(MIA PaCa-2)",40,120,43
"Apoptosis","KRAS G12C
(MIA PaCa-2)",40,160,32
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",40,0,103
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",40,80,91
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",40,120,62
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",40,160,28
"Apoptosis","KRAS G12C
(MIA PaCa-2)",80,0,102
"Apoptosis","KRAS G12C
(MIA PaCa-2)",80,80,30
"Apoptosis","KRAS G12C
(MIA PaCa-2)",80,120,14
"Apoptosis","KRAS G12C
(MIA PaCa-2)",80,160,12
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",80,0,103
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",80,80,92
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",80,120,62
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",80,160,25
"Apoptosis","KRAS G12C
(MIA PaCa-2)",120,0,102
"Apoptosis","KRAS G12C
(MIA PaCa-2)",120,80,18
"Apoptosis","KRAS G12C
(MIA PaCa-2)",120,120,9
"Apoptosis","KRAS G12C
(MIA PaCa-2)",120,160,6
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",120,0,102
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",120,80,86
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",120,120,59
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",120,160,24
"Apoptosis","KRAS G12C
(MIA PaCa-2)",160,0,102
"Apoptosis","KRAS G12C
(MIA PaCa-2)",160,80,17
"Apoptosis","KRAS G12C
(MIA PaCa-2)",160,120,7
"Apoptosis","KRAS G12C
(MIA PaCa-2)",160,160,5
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",160,0,102
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",160,80,82
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",160,120,57
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",160,160,21
"Apoptosis","KRAS G12C
(MIA PaCa-2)",200,0,98
"Apoptosis","KRAS G12C
(MIA PaCa-2)",200,80,14
"Apoptosis","KRAS G12C
(MIA PaCa-2)",200,120,7
"Apoptosis","KRAS G12C
(MIA PaCa-2)",200,160,5
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",200,0,99
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",200,80,76
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",200,120,48
"Pyroptosis","KRAS G12C
(MIA PaCa-2)",200,160,23
