layer,treatment,x,y,ymin,ymax,xend,label
bar,PBS,1,21.4135,18.66290878366233,24.164091216337667,,
bar,LNP ctrl.,2,12.217541666666666,10.122119820569859,14.312963512763472,,
bar,Apoptosis Circuit,3,6.928225,6.375485477515938,7.480964522484062,,
bar,Pyroptosis Circuit,4,6.9980166666666666,6.536466617370763,7.45956671596257,,
point,Pyroptosis Circuit,4.002795488666743,6.569999999999999,,,,
point,Pyroptosis Circuit,3.9040289744734764,5.491,,,,
point,Pyroptosis Circuit,4.08764791591093,7.271,,,,
point,Pyroptosis Circuit,3.9118763145059345,7.610200000000001,,,,
point,Pyroptosis Circuit,3.8053170105442407,6.5402000000000005,,,,
point,Pyroptosis Circuit,4.099013684689998,6.523,,,,
point,Pyroptosis Circuit,4.126522257644683,5.8281,,,,
point,Pyroptosis Circuit,3.928681295644492,11.0641,,,,
point,Pyroptosis Circuit,3.9721131189726293,8.5685,,,,
point,Pyroptosis Circuit,4.038572121318429,7.3883,,,,
point,Pyroptosis Circuit,3.9484174072742464,5.8157,,,,
point,Pyroptosis Circuit,3.8595166590064762,5.3061,,,,
point,Apoptosis Circuit,2.992960298806429,10.5086,,,,
point,Apoptosis Circuit,3.1245198396034537,5.0813,,,,
point,Apoptosis Circuit,2.997210754547268,6.6312999999999995,,,,
point,Apoptosis Circuit,3.1838715269230304,5.482200000000001,,,,
point,Apoptosis Circuit,2.878879312518984,6.294099999999999,,,,
point,Apoptosis Circuit,2.984205592609942,4.7569,,,,
point,Apoptosis Circuit,2.996723526902497,7.0776,,,,
point,Apoptosis Circuit,2.937854794226587,10.7928,,,,
point,Apoptosis Circuit,2.8148618984036147,7.531599999999999,,,,
point,Apoptosis Circuit,3.1187846891582014,6.3193,,,,
point,Apoptosis Circuit,2.9719993263483047,6.777800000000001,,,,
point,Apoptosis Circuit,3.1639334467239677,5.8852,,,,
point,PBS,0.8711932125501335,26.693,,,,
point,PBS,1.0855217929929495,8.016399999999999,,,,
point,PBS,0.9748563739471138,18.2299,,,,
point,PBS,1.1021834963001311,16.331899999999997,,,,
point,PBS,0.9446233390830457,9.0821,,,,
point,PBS,1.1249183901585638,27.745399999999997,,,,
point,PBS,0.923773197364062,29.0188,,,,
point,PBS,1.0641961094923318,27.7636,,,,
point,PBS,1.0204098351299762,35.1196,,,,
point,PBS,0.8448892961256206,9.2445,,,,
point,PBS,0.8877269541844726,32.1168,,,,
point,PBS,1.0250797471031547,17.599999999999998,,,,
point,LNP ctrl.,1.820957352872938,8.1395,,,,
point,LNP ctrl.,2.07507691513747,5.9806,,,,
point,LNP ctrl.,2.1849902721121905,10.1971,,,,
point,LNP ctrl.,1.8576305777765811,12.1339,,,,
point,LNP ctrl.,1.9845877674408257,15.487799999999998,,,,
point,LNP ctrl.,1.9263389381580054,11.748899999999999,,,,
point,LNP ctrl.,1.9518016600981354,9.9565,,,,
point,LNP ctrl.,1.987558544613421,11.1639,,,,
point,LNP ctrl.,1.9122988640330731,32.808,,,,
point,LNP ctrl.,2.15239118989557,15.8821,,,,
point,LNP ctrl.,2.107141563296318,5.7409,,,,
point,LNP ctrl.,2.1110544921830297,7.3713,,,,
bracket,,1,37.63,,,2,*
bracket,,1,40.115,,,3,****
bracket,,1,42.6,,,4,****
bracket,,2,45.085,,,3,**
bracket,,2,47.57000000000001,,,4,**
bracket,,3,50.05500000000001,,,4,ns
