cell_line,treatment,viability,lower,upper
MIA PaCa-2,Circuit,0.7800956170128677,-0.240467237471123,1.8006584714968583
MIA PaCa-2,RMC-7977,16.015112324920885,15.479146622390635,16.551078027451137
MIA PaCa-2,Sotorasib,48.09193625925718,46.815864540434674,49.36800797807969
NCI-H358,Circuit,1.6640129708764613,1.1020157463791906,2.226010195373732
NCI-H358,RMC-7977,13.124799648175573,11.910885643261466,14.338713653089677
NCI-H358,Sotorasib,35.887416183393775,28.69385170982871,43.08098065695884
SW1573,Circuit,-0.9497191649246809,-2.4392762218550086,0.5398378920056467
SW1573,RMC-7977,88.18144371171964,86.87481471441232,89.48807270902694
SW1573,Sotorasib,105.27407886480265,99.39424837691978,111.15390935268552
HEK293,Sotorasib,104.12262834352792,103.4967858300097,104.74847085704614
HEK293,RMC-7977,104.21424230671744,103.11487474844331,105.31360986499155
HEK293,Circuit,101.74066530060068,98.71324310830451,104.76808749289685
OV56,Sotorasib,96.92645754801968,94.10640080498901,99.74651429105036
OV56,RMC-7977,84.2083508501701,81.3671301574031,87.04957154293712
OV56,Circuit,-1.859316543077287,-2.127482457494197,-1.5911506286603774
Calu-1,Circuit,5.692302706806597,5.030200975129486,6.354404438483709
Calu-1,RMC-7977,26.16487123340941,25.382063863030147,26.94767860378867
Calu-1,Sotorasib,45.94164186083116,45.08247624507506,46.800807476587266
