treatment,kras,viability_change,lower,upper
Circuit 80 pg/uL,5,0,-5.458872107680806,5.458872107680806
Circuit 80 pg/uL,10,-2.3435777545401066,-6.138826978957814,1.4516714698776005
Circuit 80 pg/uL,25,-16.7874355964453,-21.742613024505538,-11.83225816838506
Circuit 80 pg/uL,50,-25.74130128883851,-28.09315504852405,-23.38944752915297
Circuit 80 pg/uL,100,-32.966933836667735,-34.99836479948998,-30.935502873845493
Circuit 80 pg/uL,200,-35.11979214825366,-36.095374965340135,-34.14420933116718
Circuit 80 pg/uL,400,-35.4652730519543,-39.00211334742298,-31.928432756485616
RMC-7977 5 nM,5,0,-3.4159541386135097,3.4159541386135097
RMC-7977 5 nM,10,7.681952338181702,4.120029269718701,11.243875406644703
RMC-7977 5 nM,25,8.725993282708075,6.212244534807795,11.239742030608355
RMC-7977 5 nM,50,5.717806626203263,1.9922570800588928,9.443356172347633
RMC-7977 5 nM,100,8.56066880186738,6.150412254099329,10.97092534963543
RMC-7977 5 nM,200,36.15812282123417,28.7423959521911,43.57384969027724
RMC-7977 5 nM,400,38.78963551391929,34.93193584061436,42.64733518722423
