treatment,cell_line,concentration,viability,lower,upper
RMC-7977,Caco-2,0,100,88.24530013096856,111.75469986903144
RMC-7977,A-431,0,100,99.08900486213652,100.91099513786348
RMC-7977,HepaRG,0,100,97.07591961054418,102.92408038945582
RMC-7977,MCF10A,0,100,98.25100856871663,101.74899143128337
RMC-7977,Caco-2,0.01,88.57106372110842,86.03942836898557,91.10269907323126
RMC-7977,A-431,0.01,77.09460756092881,73.91517995321408,80.27403516864354
RMC-7977,HepaRG,0.01,78.43470206853968,76.7852194776272,80.08418465945216
RMC-7977,MCF10A,0.01,66.85155837295298,64.13271910376028,69.57039764214568
RMC-7977,Caco-2,0.1,68.23011109692249,61.115097669836615,75.34512452400836
RMC-7977,A-431,0.1,52.62713490692765,51.383564208620946,53.870705605234356
RMC-7977,HepaRG,0.1,60.86755171349182,59.359024453042956,62.376078973940686
RMC-7977,MCF10A,0.1,19.444004226096144,18.509297925527278,20.37871052666501
RMC-7977,Caco-2,1,49.37683565317329,43.642596363549885,55.11107494279669
RMC-7977,A-431,1,40.41066973709461,40.017894161019015,40.8034453131702
RMC-7977,HepaRG,1,51.67489966038901,50.357336781740756,52.99246253903726
RMC-7977,MCF10A,1,14.640781827786581,14.167554679274552,15.11400897629861
RMC-7977,Caco-2,10,33.534669901672835,30.016975845446495,37.052363957899175
RMC-7977,A-431,10,17.664555747457303,14.280579158086114,21.048532336828494
RMC-7977,HepaRG,10,43.57054646495832,42.124285925061386,45.01680700485525
RMC-7977,MCF10A,10,16.56365557316429,16.090251548525085,17.037059597803495
Circuit,Caco-2,0,100,89.1220600969381,110.8779399030619
Circuit,A-431,0,100,93.2046495763267,106.7953504236733
Circuit,HepaRG,0,100,95.98107248178732,104.01892751821268
Circuit,MCF10A,0,100,97.53520495442659,102.46479504557341
Circuit,Caco-2,40,101.59675236806495,91.44760186883607,111.74590286729384
Circuit,A-431,40,97.49295774647887,89.99314522387232,104.99277026908541
Circuit,HepaRG,40,100.32864567410577,98.94184653758492,101.71544481062662
Circuit,MCF10A,40,97.30103806228374,95.92835141666797,98.67372470789951
Circuit,Caco-2,80,96.18403247631935,86.72978063340601,105.63828431923268
Circuit,A-431,80,95.74647887323944,86.83759714940203,104.65536059707685
Circuit,HepaRG,80,100.41271782329564,98.65418113657869,102.17125451001259
Circuit,MCF10A,80,95.97231833910035,93.84478864802307,98.09984803017764
Circuit,Caco-2,120,93.42354533152908,82.6702221698804,104.17686849317776
Circuit,A-431,120,96.3755868544601,88.4754891424773,104.27568456644289
Circuit,HepaRG,120,98.42555793335372,96.58949522378151,100.26162064292592
Circuit,MCF10A,120,94.85121107266437,92.41141380226318,97.29100834306556
Circuit,Caco-2,160,91.25845737483085,82.35364204554263,100.16327270411908
Circuit,A-431,160,91.91549295774648,83.274527466882,100.55645844861095
Circuit,HepaRG,160,97.79119535310302,95.64640096360984,99.9359897425962
Circuit,MCF10A,160,92.63667820069205,90.87482873597713,94.39852766540696
Circuit,Caco-2,200,91.5426251691475,84.41739480479373,98.66785553350127
Circuit,A-431,200,86.57276995305165,78.40365873459076,94.74188117151253
Circuit,HepaRG,200,95.72760623662488,93.3140435463478,98.14116892690195
Circuit,MCF10A,200,87.87543252595155,86.94233058598293,88.80853446592018
