layer,comparison,x,y,color,label
bar,Sotorasib 1 µM,5,,Sotorasib,
bar,Sotorasib 1 µM,-15,,Sotorasib,
bar,RMC 30 nM,1850,,RMC-7977,
bar,RMC 30 nM,-1572,,RMC-7977,
bar,LNP negative control,770,,Negative control,
bar,LNP negative control,-138,,Negative control,
bar,LNP positive control,2079,,Positive control,
bar,LNP positive control,-4087,,Positive control,
bar,Sensor high,2,,Circuit,
bar,Sensor high,-13,,Circuit,
bar,Sensor high + Casp3,168,,Circuit,
bar,Sensor high + Casp3,-87,,Circuit,
point,RMC-7977 30 nM,-8.42731254486108,39.57628062431083,DE (RMC),
point,RMC-7977 30 nM,4.42465376644754,37.83453939253168,DE (RMC),
point,RMC-7977 30 nM,6.35230430731441,36.99457550570854,DE (RMC),
point,RMC-7977 30 nM,4.47054453694204,36.53247340130128,DE (RMC),
point,RMC-7977 30 nM,4.27870030964461,34.1572919690608,DE (RMC),
point,RMC-7977 30 nM,-4.93275148175045,34.1572919690608,DE (RMC),
point,RMC-7977 30 nM,-4.56145896948803,34.1572919690608,DE (RMC),
point,RMC-7977 30 nM,-3.8132065724978,34.1572919690608,DE (RMC),
point,RMC-7977 30 nM,-4.78472972961307,34.003995334592,DE (RMC),
point,RMC-7977 30 nM,-4.74924557184003,33.76871571929531,DE (RMC),
point,RMC-7977 30 nM,4.26413640390056,33.3606837834649,DE (RMC),
point,RMC-7977 30 nM,4.13799075630922,33.3606837834649,DE (RMC),
point,RMC-7977 30 nM,-4.67035002855329,33.248319960085674,DE (RMC),
point,RMC-7977 30 nM,-5.00634551388257,33.220756410667974,DE (RMC),DUSP6
point,RMC-7977 30 nM,-4.29310054934549,33.1845974895628,DE (RMC),
point,RMC-7977 30 nM,-3.53967743869735,33.09107584540609,DE (RMC),
point,RMC-7977 30 nM,3.33244554315395,33.08726268250865,DE (RMC),
point,RMC-7977 30 nM,4.98521755960593,33.04196165584621,DE (RMC),
point,RMC-7977 30 nM,6.03165514744956,33.04196165584621,DE (RMC),
point,RMC-7977 30 nM,-4.3958169714023,32.99670054516112,DE (RMC),
point,RMC-7977 30 nM,-3.00760657591281,32.81193218332549,DE (RMC),
point,RMC-7977 30 nM,-4.37299828141397,32.79955658524177,DE (RMC),
point,RMC-7977 30 nM,4.34418207038006,32.6761370985788,DE (RMC),
point,RMC-7977 30 nM,-4.92095745093089,32.38712746670811,DE (RMC),
point,RMC-7977 30 nM,6.19682665419587,32.275965579400015,DE (RMC),
point,RMC-7977 30 nM,-5.06997617000216,32.003878493571754,DE (RMC),
point,RMC-7977 30 nM,-3.74942887163221,31.908884037666464,DE (RMC),
point,RMC-7977 30 nM,5.00992486508039,31.873414987321418,DE (RMC),
point,RMC-7977 30 nM,-3.37662369824713,31.72733673869181,DE (RMC),
