plot,layer,selection,challenge,culture,x,y,ymin,ymax
Dose response,point,Sotorasib,Sotorasib,M5,1e-4,100,,
Dose response,point,Sotorasib,Sotorasib,M5,0.001,104.1223969400765,,
Dose response,point,Sotorasib,Sotorasib,M5,0.01,107.09732256693583,,
Dose response,point,Sotorasib,Sotorasib,M5,0.1,103.27241818954526,,
Dose response,point,Sotorasib,Sotorasib,M5,1,99.8725031874203,,
Dose response,point,Sotorasib,Sotorasib,M5,10,80.11049723756905,,
Dose response,point,Sotorasib,Sotorasib,M7,1e-4,100,,
Dose response,point,Sotorasib,Sotorasib,M7,0.001,108.05984555984556,,
Dose response,point,Sotorasib,Sotorasib,M7,0.01,112.93436293436294,,
Dose response,point,Sotorasib,Sotorasib,M7,0.1,98.7934362934363,,
Dose response,point,Sotorasib,Sotorasib,M7,1,95.31853281853282,,
Dose response,point,Sotorasib,Sotorasib,M7,10,70.22200772200772,,
Dose response,point,Sotorasib,Sotorasib,M8,1e-4,100,,
Dose response,point,Sotorasib,Sotorasib,M8,0.001,94.39252336448598,,
Dose response,point,Sotorasib,Sotorasib,M8,0.01,95.7943925233645,,
Dose response,point,Sotorasib,Sotorasib,M8,0.1,88.73831775700934,,
Dose response,point,Sotorasib,Sotorasib,M8,1,81.6822429906542,,
Dose response,point,Sotorasib,Sotorasib,M8,10,59.532710280373834,,
Dose response,point,Sotorasib,RMC-7977,M5,1e-4,100,,
Dose response,point,Sotorasib,RMC-7977,M5,0.001,97.8792070078377,,
Dose response,point,Sotorasib,RMC-7977,M5,0.01,92.76164130935915,,
Dose response,point,Sotorasib,RMC-7977,M5,0.1,63.07053941908713,,
Dose response,point,Sotorasib,RMC-7977,M5,1,32.96449976947902,,
Dose response,point,Sotorasib,RMC-7977,M5,10,26.09497464269249,,
Dose response,point,Sotorasib,RMC-7977,M7,1e-4,100,,
Dose response,point,Sotorasib,RMC-7977,M7,0.001,100.76219512195121,,
Dose response,point,Sotorasib,RMC-7977,M7,0.01,89.63414634146342,,
Dose response,point,Sotorasib,RMC-7977,M7,0.1,65.8028455284553,,
Dose response,point,Sotorasib,RMC-7977,M7,1,37.296747967479675,,
Dose response,point,Sotorasib,RMC-7977,M7,10,24.13617886178862,,
Dose response,point,Sotorasib,RMC-7977,M8,1e-4,100,,
Dose response,point,Sotorasib,RMC-7977,M8,0.001,89.71751412429379,,
Dose response,point,Sotorasib,RMC-7977,M8,0.01,77.11864406779661,,
Dose response,point,Sotorasib,RMC-7977,M8,0.1,49.717514124293785,,
Dose response,point,Sotorasib,RMC-7977,M8,1,28.135593220338983,,
Dose response,point,Sotorasib,RMC-7977,M8,10,20.960451977401128,,
Dose response,point,Sotorasib,Circuit,M5,40,100,,
Dose response,point,Sotorasib,Circuit,M5,80,108.43373493975903,,
Dose response,point,Sotorasib,Circuit,M5,160,105.11009555463234,,
Dose response,point,Sotorasib,Circuit,M5,320,70.37806398005816,,
Dose response,point,Sotorasib,Circuit,M5,640,5.712505193186539,,
Dose response,point,Sotorasib,Circuit,M5,1280,2.3971749065226424,,
Dose response,point,Sotorasib,Circuit,M7,40,100,,
Dose response,point,Sotorasib,Circuit,M7,80,108.16418583671627,,
