treatment,construct,concentration,viability,lower,upper
circuit,CCND1 T286A,0,100,100,100
circuit,CCND1 T286A,40,89.87936351734359,89.15518133702093,90.60354569766625
circuit,CCND1 T286A,80,80.28584719971899,79.1112094870462,81.46048491239178
circuit,CCND1 T286A,160,45.172295618521915,44.186663943999065,46.157927293044764
circuit,CCND1 T286A,240,20.344699817563644,19.2720464899459,21.417353145181387
circuit,CCND1 T286A,400,11.951371941367956,9.79601991781693,14.106723964918983
circuit,SHOC2 S2G,0,100,100,100
circuit,SHOC2 S2G,40,99.2485791945812,97.2918683646178,101.2052900245446
circuit,SHOC2 S2G,80,87.70137576073057,84.8043247832774,90.59842673818375
circuit,SHOC2 S2G,160,54.516965117229965,53.93173617083253,55.1021940636274
circuit,SHOC2 S2G,240,22.31504035477333,21.280468326692954,23.349612382853707
circuit,SHOC2 S2G,400,10.832705756413752,9.77867834123683,11.886733171590674
circuit,NeoR,0,100,100,100
circuit,NeoR,40,93.27533637209987,91.3418776056995,95.20879513850025
circuit,NeoR,80,84.73664675399957,81.41199307953157,88.06130042846756
circuit,NeoR,160,57.90264114145734,54.083398790151044,61.72188349276363
circuit,NeoR,240,23.733672172942732,22.3647056176353,25.102638728250167
circuit,NeoR,400,13.837689448754453,12.745613553263743,14.929765344245164
circuit,YAP1 S127A,0,100,100,100
circuit,YAP1 S127A,40,91.15147295944215,87.01366241782068,95.28928350106361
circuit,YAP1 S127A,80,69.55692664273366,68.64302520505349,70.47082808041382
circuit,YAP1 S127A,160,36.16962930071705,31.223430762276866,41.115827839157234
circuit,YAP1 S127A,240,15.212080906550947,13.467086600946734,16.957075212155157
circuit,YAP1 S127A,400,7.9225292616238585,7.366242138265569,8.478816384982148
circuit,MEK1 Q56P,0,100,100,100
circuit,MEK1 Q56P,40,97.47801595899988,94.5321300032758,100.42390191472396
circuit,MEK1 Q56P,80,87.76914840881463,86.338079379067,89.20021743856226
circuit,MEK1 Q56P,160,68.40055053850357,64.38137045652476,72.41973062048237
circuit,MEK1 Q56P,240,32.92060919985366,31.043357604820926,34.79786079488639
circuit,MEK1 Q56P,400,18.654356679504247,16.992357613623504,20.31635574538499
RMC 7977,CCND1 T286A,0,100,100,100
RMC 7977,CCND1 T286A,0.1,99.30405169498637,97.33366081383983,101.27444257613291
RMC 7977,CCND1 T286A,1,98.08135788649066,94.55512397626454,101.60759179671679
RMC 7977,CCND1 T286A,5,82.03347840650828,78.7016479402852,85.36530887273136
RMC 7977,CCND1 T286A,10,76.08353190360792,71.78843920939097,80.37862459782487
RMC 7977,CCND1 T286A,50,66.09670355967914,62.92023232605248,69.2731747933058
RMC 7977,SHOC2 S2G,0,100,100,100
RMC 7977,SHOC2 S2G,0.1,105.38414415746365,104.72305732877315,106.04523098615415
RMC 7977,SHOC2 S2G,1,94.32937461742796,89.19114265052245,99.46760658433347
RMC 7977,SHOC2 S2G,5,69.78636500109143,66.25350559473969,73.31922440744316
RMC 7977,SHOC2 S2G,10,60.998519985452006,57.74490916902773,64.25213080187629
RMC 7977,SHOC2 S2G,50,44.608775909953415,41.90664092748369,47.31091089242314
RMC 7977,NeoR,0,100,100,100
RMC 7977,NeoR,0.1,96.33786893463814,91.83573602417742,100.84000184509885
RMC 7977,NeoR,1,70.82704791083343,67.88038879541263,73.77370702625423
RMC 7977,NeoR,5,50.021550230560514,47.35162895094819,52.69147151017284
RMC 7977,NeoR,10,41.98311290719499,39.76962134582267,44.196604468567315
RMC 7977,NeoR,50,34.10763439900764,33.118604752039445,35.09666404597583
RMC 7977,YAP1 S127A,0,100,100,100
RMC 7977,YAP1 S127A,0.1,95.2959079926359,92.63584494032952,97.95597104494229
RMC 7977,YAP1 S127A,1,75.24364478249389,70.4376434034829,80.04964616150488
RMC 7977,YAP1 S127A,5,66.33564135513922,61.485243037329624,71.18603967294881
RMC 7977,YAP1 S127A,10,62.38347014879962,60.486182695246,64.28075760235323
RMC 7977,YAP1 S127A,50,56.49145377301208,53.52618670272878,59.456720843295386
RMC 7977,MEK1 Q56P,0,100,100,100
RMC 7977,MEK1 Q56P,0.1,114.37515302367831,108.98435036694558,119.76595568041104
RMC 7977,MEK1 Q56P,1,120.9504184530796,113.9833684490338,127.91746845712541
RMC 7977,MEK1 Q56P,5,114.27564752950244,106.10609928141572,122.44519577758915
RMC 7977,MEK1 Q56P,10,116.0365910039294,109.6418095306866,122.4313724771722
RMC 7977,MEK1 Q56P,50,107.87243500853663,102.83570051642027,112.90916950065298
