layer,treatment,day,volume,lower,upper,label
point,Circuits-control,16,147.7345024,119.76282695902819,175.7061778409718,
point,Circuits-control,19,245.53282894999998,205.40258360617315,285.6630742938268,
point,Circuits-control,22,354.85214279999997,281.97959553157665,427.7246900684233,
point,Circuits-control,25,442.6853741,343.45396033870696,541.9167878612931,
point,Circuits-pyroptosis,16,146.24263105000003,130.74487271796175,161.7403893820383,
point,Circuits-pyroptosis,19,157.62847925,141.96359173486303,173.29336676513697,
point,Circuits-pyroptosis,22,159.30628435,143.32622871498228,175.28633998501772,
point,Circuits-pyroptosis,25,186.93157795,153.69797073051737,220.1651851694826,
point,PBS,16,146.6653045,100.07642675282867,193.25418224717131,
point,PBS,19,268.6976338125,191.90473756076108,345.4905300642389,
point,PBS,22,410.74107625,305.193930073117,516.2882224268831,
point,PBS,25,517.796673625,359.79258937896384,675.8007578710362,
point,RMC-7977,16,148.04741125,108.45737636359954,187.63744613640048,
point,RMC-7977,19,238.1214572,184.28100571483728,291.96190868516277,
point,RMC-7977,22,370.1249517,273.5192386523117,466.7306647476883,
point,RMC-7977,25,510.6084431,345.21638145836266,676.0005047416373,
bracket,Circuits-control,26,442.6853741,186.93157795,,****
bracket,PBS,26.7,517.796673625,186.93157795,,****
bracket,RMC-7977,27.4,510.6084431,186.93157795,,***
